ontology1,ontology2,metric,value,matcher
source-segment-cmt-iasted,target-segment-cmt-iasted,precision,0.2,COMA
source-segment-ekaw-iasted,target-segment-ekaw-iasted,precision,0.14285714285714285,COMA
source-segment-confOf-edas,target-segment-confOf-edas,precision,0.22727272727272727,COMA
source-segment-cmt-conference,target-segment-cmt-conference,precision,0.2,COMA
source-segment-conference-sigkdd,target-segment-conference-sigkdd,precision,0.23076923076923078,COMA
source-segment-conference-confOf,target-segment-conference-confOf,precision,0.4,COMA
source-segment-conference-ekaw,target-segment-conference-ekaw,precision,0.3333333333333333,COMA
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,precision,0.45454545454545453,COMA
source-segment-cmt-confOf,target-segment-cmt-confOf,precision,0.3333333333333333,COMA
source-segment-cmt-edas,target-segment-cmt-edas,precision,0.375,COMA
source-segment-conference-edas,target-segment-conference-edas,precision,0.25,COMA
source-segment-confOf-iasted,target-segment-confOf-iasted,precision,0.13636363636363635,COMA
source-segment-edas-iasted,target-segment-edas-iasted,precision,0.10526315789473684,COMA
source-segment-edas-sigkdd,target-segment-edas-sigkdd,precision,0.21428571428571427,COMA
source-segment-cmt-ekaw,target-segment-cmt-ekaw,precision,0.25,COMA
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,precision,0.16666666666666666,COMA
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,precision,0.1875,COMA
source-segment-conference-iasted,target-segment-conference-iasted,precision,0.15384615384615385,COMA
source-segment-confOf-ekaw,target-segment-confOf-ekaw,precision,0.4,COMA
source-segment-edas-ekaw,target-segment-edas-ekaw,precision,0.3,COMA
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,precision,0.3,COMA
