"ontology1","ontology2","metric","value","matcher"
"source-segment-cmt-confOf","target-segment-cmt-confOf","recall","0.36363636363636365","COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","recall","1","LogMap"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","recall","0.2","COMA-RES2_PARENTS-SIM_STR_LEVENSHTEIN_LUCENE"
"source-segment-conference-ekaw","target-segment-conference-ekaw","recall","0.375","LogMap"
"source-segment-cmt-edas","target-segment-cmt-edas","recall","0.875","AML-WC-10"
"source-segment-cmt-iasted","target-segment-cmt-iasted","recall","1","AML-SC-15"
"source-segment-conference-iasted","target-segment-conference-iasted","recall","0.4","LogMap"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","recall","0.8571428571428571","AML-SC-6"
"source-segment-conference-edas","target-segment-conference-edas","recall","0.625","AML"
"source-segment-edas-ekaw","target-segment-edas-ekaw","recall","0.6","LogMap"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","recall","0.6666666666666666","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","recall","1","COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED"
"source-segment-edas-iasted","target-segment-edas-iasted","recall","0.8","COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","recall","0.25","COMA-RES2_CHILDREN-SIM_STR_LEVENSHTEIN_LUCENE"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","recall","1","LogMap"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","recall","0.8571428571428571","LogMap"
"source-segment-conference-confOf","target-segment-conference-confOf","recall","0.75","COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE"
"source-segment-confOf-edas","target-segment-confOf-edas","recall","0.3333333333333333","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT"
"source-segment-cmt-conference","target-segment-cmt-conference","recall","0.5","AML-SC-1"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","recall","1","COMA"
