ontology1,ontology2,metric,value,matcher
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.6666666666666666,COMA
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,fmeasure,0.22222222222222224,COMA
source-segment-conference-iasted,target-segment-conference-iasted,fmeasure,0.3333333333333333,COMA
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.4666666666666667,COMA
source-segment-edas-iasted,target-segment-edas-iasted,fmeasure,0.27586206896551724,COMA
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,fmeasure,0.5833333333333334,COMA
source-segment-conference-confOf,target-segment-conference-confOf,fmeasure,0.375,COMA
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.26666666666666666,COMA
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.2,COMA
source-segment-confOf-ekaw,target-segment-confOf-ekaw,fmeasure,0,COMA
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.19354838709677416,COMA
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.3225806451612903,COMA
source-segment-conference-ekaw,target-segment-conference-ekaw,fmeasure,0.18181818181818182,COMA
source-segment-conference-sigkdd,target-segment-conference-sigkdd,fmeasure,0.4444444444444444,COMA
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.21621621621621623,COMA
source-segment-ekaw-iasted,target-segment-ekaw-iasted,fmeasure,0.21428571428571427,COMA
source-segment-cmt-iasted,target-segment-cmt-iasted,fmeasure,0.29629629629629634,COMA
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.28571428571428575,COMA
source-segment-conference-edas,target-segment-conference-edas,fmeasure,0.3478260869565218,COMA
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.4761904761904762,COMA
