lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,recall
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.875
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_IFUICE,0.375
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_LOWMEM,0.375
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_OPT,0.375
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_LEVENSHTEIN_LUCENE,0.375
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_JAROWINKLER,0.375
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_EDITDIST,0.375
HIGH,MEDIUM,HIGH,COMA,0.7142857142857143
HIGH,MEDIUM,HIGH,LogMap,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.42857142857142855
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.5714285714285714
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.5714285714285714
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.5714285714285714
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.8571428571428571
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.7142857142857143
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_LEVENSHTEIN_LUCENE,0.42857142857142855
HIGH,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_EDITDIST,0.42857142857142855
HIGH,MEDIUM,HIGH,COMA-RES2_SIBLINGS-SIM_STR_JAROWINKLER,0.42857142857142855
MEDIUM,MEDIUM,HIGH,COMA,1.0
MEDIUM,MEDIUM,HIGH,LogMap,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.75
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.75
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.75
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.75
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.5
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.5
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,1.0
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,1.0
LOW,MEDIUM,HIGH,COMA,1.0
LOW,MEDIUM,HIGH,LogMap,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.5714285714285714
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5714285714285714
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.5714285714285714
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.5714285714285714
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,1.0
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_COMA,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_IFUICE,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_LOWMEM,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_TRIGRAM_OPT,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_COSINE_PPJOINPLUS,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_LEVENSHTEIN_LUCENE,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_JAROWINKLER,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_EDITDIST,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_EQUAL,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_PARENTS-SIM_STR_JACCARD,0.42857142857142855
LOW,MEDIUM,HIGH,COMA-RES2_CHILDREN-SIM_STR_JAROWINKLER,0.42857142857142855
LOW,MEDIUM,LOW,COMA,0.75
LOW,MEDIUM,LOW,LogMap,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.75
LOW,MEDIUM,LOW,COMA,0.5
LOW,MEDIUM,LOW,LogMap,0.625
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.625
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.5
LOW,MEDIUM,LOW,LogMap,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.375
HIGH,MEDIUM,HIGH,COMA,0.4
HIGH,MEDIUM,HIGH,LogMap,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.4
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.4
HIGH,MEDIUM,HIGH,COMA,0.6666666666666666
HIGH,MEDIUM,HIGH,LogMap,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.5
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.6666666666666666
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.5
HIGH,MEDIUM,HIGH,COMA,0.3333333333333333
HIGH,MEDIUM,HIGH,LogMap,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.3333333333333333
HIGH,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3333333333333333
