lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,precision
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.6666666666666666
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.6666666666666666
LOW,MEDIUM,HIGH,COMA,0.4117647058823529
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.3333333333333333
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.8
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.8
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.5384615384615384
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.5384615384615384
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.5384615384615384
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.5384615384615384
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.8571428571428571
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE,0.4117647058823529
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_JAROWINKLER,0.4375
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EDITDIST,0.4117647058823529
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.8571428571428571
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.42857142857142855
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.375
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.75
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3125
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.36363636363636365
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.36363636363636365
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.36363636363636365
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.8
LOW,MEDIUM,LOW,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.8
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.5
LOW,MEDIUM,LOW,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.5
