"ontology1","ontology2","metric","value","matcher"
"confOf","ekaw","fmeasure","0.8108108108108107","AML"
"cmt","sigkdd","fmeasure","0.9565217391304348","AML-SC-20"
"iasted","sigkdd","fmeasure","0.7878787878787877","AML"
"cmt","edas","fmeasure","0.8333333333333333","AML-SC-55"
"edas","iasted","fmeasure","0.45714285714285713","AML"
"cmt","iasted","fmeasure","0.888888888888889","AML-WC-32"
"confOf","sigkdd","fmeasure","0.8333333333333333","AML"
"ekaw","sigkdd","fmeasure","0.7777777777777778","COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS"
"confOf","edas","fmeasure","0.6875","AML"
"cmt","ekaw","fmeasure","0.7058823529411764","AML-WC-5"
"cmt","confOf","fmeasure","0.5833333333333334","AML-SC-17"
"edas","sigkdd","fmeasure","0.7272727272727272","COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED"
"ekaw","iasted","fmeasure","0.6363636363636365","AML"
"edas","ekaw","fmeasure","0.6315789473684211","AML"
"confOf","iasted","fmeasure","0.5","AML"
