ontology1,ontology2,metric,value,matcher,experiment
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.25,LogMap,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.5,LogMap,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.18181818181818182,LogMap,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3,LogMap,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.5714285714285714,LogMap,exp2
source-segment-edas-iasted,target-segment-edas-iasted,recall,0.4,LogMap,exp2
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.42857142857142855,REDOMA,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.2727272727272727,REDOMA,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,REDOMA,exp2
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.5,REDOMA,exp2
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0,REDOMA,exp2
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.5714285714285714,REDOMA,exp2
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.6666666666666666,REDOMA,exp2
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.5714285714285714,REDOMA,exp2
source-segment-edas-iasted,target-segment-edas-iasted,recall,0.4,REDOMA,exp2
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.25,REDOMA,exp2
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.75,REDOMA,exp2
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.375,REDOMA,exp2
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.3,REDOMA,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,0.75,REDOMA,exp2
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,REDOMA,exp2
source-segment-conference-edas,target-segment-conference-edas,recall,0.625,REDOMA,exp2
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.3333333333333333,REDOMA,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0,REDOMA,exp2
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.4,REDOMA,exp2
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.2,REDOMA,exp2
edas,sigkdd,recall,0.8,COMA,exp1
edas,ekaw,recall,0.6086956521739131,COMA,exp1
ekaw,sigkdd,recall,0.6363636363636364,COMA,exp1
cmt,ekaw,recall,0.45454545454545453,COMA,exp1
cmt,edas,recall,0.6153846153846154,COMA,exp1
cmt,sigkdd,recall,0.8333333333333334,COMA,exp1
confOf,sigkdd,recall,0.7142857142857143,COMA,exp1
confOf,edas,recall,0.5789473684210527,COMA,exp1
cmt,confOf,recall,0.3125,COMA,exp1
confOf,ekaw,recall,0.5,COMA,exp1
edas,iasted,recall,0,COMA,exp1
iasted,sigkdd,recall,0,COMA,exp1
confOf,iasted,recall,0,COMA,exp1
ekaw,sigkdd,recall,0,COMA,exp1
cmt,iasted,recall,0,COMA,exp1
ekaw,iasted,recall,0.7,REDOMA,exp1
edas,sigkdd,recall,0.8,REDOMA,exp1
confOf,iasted,recall,0.5555555555555556,REDOMA,exp1
edas,ekaw,recall,0.6521739130434783,REDOMA,exp1
cmt,edas,recall,1,REDOMA,exp1
edas,iasted,recall,0.47368421052631576,REDOMA,exp1
cmt,ekaw,recall,0.6363636363636364,REDOMA,exp1
iasted,sigkdd,recall,0.9333333333333333,REDOMA,exp1
confOf,sigkdd,recall,0.8571428571428571,REDOMA,exp1
cmt,confOf,recall,0.4375,REDOMA,exp1
cmt,sigkdd,recall,0.9166666666666666,REDOMA,exp1
ekaw,sigkdd,recall,0.8181818181818182,REDOMA,exp1
confOf,ekaw,recall,0.8,REDOMA,exp1
cmt,iasted,recall,1,REDOMA,exp1
confOf,edas,recall,0.631578947368421,REDOMA,exp1
cmt,sigkdd,recall,0.9166666666666666,YAM,exp1
cmt,iasted,recall,1,YAM,exp1
