"ontology1","ontology2","metric","value","matcher"
"source-segment-edas-sigkdd","target-segment-edas-sigkdd","recall","1","COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA"
"source-segment-cmt-confOf","target-segment-cmt-confOf","recall","0.625","COMA"
"source-segment-conference-confOf","target-segment-conference-confOf","recall","0.875","AML-WC-7"
"source-segment-edas-ekaw","target-segment-edas-ekaw","recall","0.8333333333333334","LogMap"
"source-segment-cmt-edas","target-segment-cmt-edas","recall","0.75","COMA"
"source-segment-cmt-ekaw","target-segment-cmt-ekaw","recall","0.5555555555555556","LogMap"
"source-segment-cmt-sigkdd","target-segment-cmt-sigkdd","recall","1","COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT"
"source-segment-ekaw-sigkdd","target-segment-ekaw-sigkdd","recall","0.8","LogMap"
"source-segment-conference-iasted","target-segment-conference-iasted","recall","0.6666666666666666","AML-SC-31"
"source-segment-confOf-edas","target-segment-confOf-edas","recall","0.75","AML"
"source-segment-ekaw-iasted","target-segment-ekaw-iasted","recall","0.75","COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE"
"source-segment-cmt-iasted","target-segment-cmt-iasted","recall","1","COMA-RES2_SELFPATH-SIM_STR_JACCARD"
"source-segment-conference-edas","target-segment-conference-edas","recall","0.8888888888888888","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA"
"source-segment-conference-ekaw","target-segment-conference-ekaw","recall","0.8","COMA"
"source-segment-cmt-conference","target-segment-cmt-conference","recall","0.6","COMA-RES2_CHILDREN-SIM_STR_TRIGRAM_OPT"
"source-segment-iasted-sigkdd","target-segment-iasted-sigkdd","recall","1","LogMap"
"source-segment-conference-sigkdd","target-segment-conference-sigkdd","recall","0.8","COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM"
"source-segment-confOf-sigkdd","target-segment-confOf-sigkdd","recall","1","COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE"
"source-segment-confOf-ekaw","target-segment-confOf-ekaw","recall","0.8333333333333334","COMA-RES2_SELFPATH-SIM_STR_EDITDIST"
"source-segment-confOf-iasted","target-segment-confOf-iasted","recall","1","COMA-RES2_SELFNODE-SIM_STR_LEVENSHTEIN_LUCENE"
"source-segment-edas-iasted","target-segment-edas-iasted","recall","1","COMA-RES2_SELFPATH-SIM_STR_JACCARD"
