ontology1,ontology2,metric,value,matcher,experiment
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8571428571428571,RECOMENDADO,exp2
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,1,RECOMENDADO,exp2
source-segment-edas-iasted,target-segment-edas-iasted,recall,0.8,RECOMENDADO,exp2
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,RECOMENDADO,exp2
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,RECOMENDADO,exp2
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.875,RECOMENDADO,exp2
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.36363636363636365,RECOMENDADO,exp2
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.5,RECOMENDADO,exp2
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.75,COMA,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.4,COMA,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,COMA,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.3333333333333333,COMA,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,COMA,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.75,COMA,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,1,COMA,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.6666666666666666,COMA,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,COMA,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.75,COMA,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.6666666666666666,COMA,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.6666666666666666,COMA,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.6,COMA,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.6,COMA,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,COMA,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.8,COMA,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,COMA,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,1,COMA,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.5,COMA,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.625,COMA,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.5,COMA,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,AML,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.875,AML,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,0.5555555555555556,AML,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.75,AML,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,AML,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.4444444444444444,AML,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,AML,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,AML,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.6,AML,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.5,AML,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.75,AML,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.8,AML,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.6666666666666666,AML,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,AML,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.4,AML,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,AML,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.6,AML,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,AML,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.3333333333333333,AML,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.6,AML,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,AML,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.5555555555555556,LogMap,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.6,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,0.6666666666666666,LogMap,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.4444444444444444,LogMap,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,LogMap,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,LogMap,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,LogMap,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.3333333333333333,LogMap,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.5,LogMap,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,0.75,LogMap,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.625,LogMap,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8,LogMap,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,LogMap,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.4,LogMap,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,0.8,LogMap,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,LogMap,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.4,LogMap,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,0.6666666666666666,LogMap,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.8333333333333334,LogMap,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.5,LogMap,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.5,LogMap,exp3
source-segment-confOf-sigkdd,target-segment-confOf-sigkdd,recall,1,RECOMENDADO,exp3
source-segment-conference-ekaw,target-segment-conference-ekaw,recall,0.8,RECOMENDADO,exp3
source-segment-cmt-sigkdd,target-segment-cmt-sigkdd,recall,1,RECOMENDADO,exp3
source-segment-cmt-conference,target-segment-cmt-conference,recall,0.6,RECOMENDADO,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,recall,1,RECOMENDADO,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,recall,1,RECOMENDADO,exp3
source-segment-ekaw-iasted,target-segment-ekaw-iasted,recall,0.75,RECOMENDADO,exp3
source-segment-confOf-ekaw,target-segment-confOf-ekaw,recall,0.8333333333333334,RECOMENDADO,exp3
source-segment-edas-iasted,target-segment-edas-iasted,recall,1,RECOMENDADO,exp3
source-segment-conference-edas,target-segment-conference-edas,recall,0.8888888888888888,RECOMENDADO,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,recall,0.8,RECOMENDADO,exp3
source-segment-cmt-edas,target-segment-cmt-edas,recall,0.75,RECOMENDADO,exp3
source-segment-cmt-iasted,target-segment-cmt-iasted,recall,1,RECOMENDADO,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,recall,0.625,RECOMENDADO,exp3
source-segment-conference-iasted,target-segment-conference-iasted,recall,0.6666666666666666,RECOMENDADO,exp3
source-segment-confOf-iasted,target-segment-confOf-iasted,recall,1,RECOMENDADO,exp3
source-segment-conference-confOf,target-segment-conference-confOf,recall,0.875,RECOMENDADO,exp3
source-segment-confOf-edas,target-segment-confOf-edas,recall,0.75,RECOMENDADO,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,recall,0.8333333333333334,RECOMENDADO,exp3
source-segment-conference-sigkdd,target-segment-conference-sigkdd,recall,0.8,RECOMENDADO,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,recall,0.5555555555555556,RECOMENDADO,exp3
